Cell	ImmClassifier_prediction
cell_148	L:T:CD4:Treg
cell_155	L:T:CD8:TRM
cell_167	L:NK
cell_186	L:T:CD4:TRM
cell_223	L:T:CD8:TRM
cell_251	L:T:CD8:Ex
cell_308	L:T:CD4:TRM
cell_326	L:T:CD4:Treg
cell_356	L:T:CD8:TRM
cell_2	L:NK
cell_70	L:NK
cell_110	L:NK
cell_145	L:NK
cell_236	L:NK
cell_289	L:NK
cell_298	L:NK
cell_328	L:NK
cell_63	L:T:CD4:Treg
cell_144	L:T:CD4:Treg
cell_200	L:T:CD4:Treg
cell_74	M:cDC
cell_107	L:T:CD4:Treg
cell_169	L:T:CD4:TRM
cell_1	L:T:CD4:Treg
cell_17	L:T:CD4:Treg
cell_59	L:T:CD4:Treg
cell_87	L:T:CD4:Treg
cell_93	L:T:CD4:Treg
cell_233	L:T:CD8:Ex
cell_234	L:T:CD4:TRM
cell_255	M:Mono:Mac
cell_284	L:T:CD4:Treg
cell_327	L:T:CD4:Treg
cell_354	L:T:CD4:Treg
cell_52	L:NK
cell_85	L:T:CD8:TRM
cell_112	L:NK
cell_311	L:unconvT:MAIT
cell_315	L:NK
cell_322	L:NK
cell_351	L:T:CD8:EM
cell_30	M:Neu
cell_65	M:Neu
cell_118	M:Neu
cell_122	M:Neu
cell_141	M:Neu
cell_158	M:Neu
cell_192	M:Neu
cell_213	M:Mono:Mac
cell_231	M:Neu
cell_343	M:Neu
cell_26	L:T:CD4:TRM
cell_147	L:T:CD4:Treg
cell_178	L:T:CD4:TRM
cell_221	L:B
cell_237	L:T:CD4:Treg
cell_253	L:T:CD4:TRM
cell_287	L:T:CD4:Treg
cell_24	M:Neu
cell_57	M:Neu
cell_83	M:Neu
cell_248	M:Neu
cell_312	M:Neu
cell_347	M:Neu
cell_3	L:T:CD4:Treg
cell_39	L:T:CD4:Treg
cell_56	L:T:CD4:Treg
cell_261	L:T:CD4:Treg
cell_275	L:T:CD4:Treg
cell_281	L:T:CD4:TRM
cell_32	L:NK
cell_79	L:NK
cell_216	L:NK
cell_302	L:NK
cell_61	M:Mono:Mac
cell_92	M:Mono:Mac
cell_140	M:Mono:Mac
cell_149	M:Neu
cell_176	M:Mono:Mac
cell_224	M:Mono:Mac
cell_225	M:Neu
cell_262	M:Mono:Mac
cell_263	M:Mono:Mac
cell_279	M:Mono:Mac
cell_305	L:B
cell_20	L:B
cell_35	L:B
cell_80	L:B
cell_89	L:B
cell_137	L:B
cell_277	L:B
cell_323	L:B
cell_329	L:B
cell_337	L:B
cell_27	M:Neu
cell_94	M:Neu
cell_136	M:Mono:Mac
cell_206	M:Neu
cell_240	M:Neu
cell_244	M:Mono:Mac
cell_271	M:Mono:Mac
cell_286	M:Mono:Mac
cell_348	M:Mono:mDC
cell_5	L:NK
cell_64	L:NK
cell_119	L:NK
cell_256	L:NK
cell_334	L:NK
cell_19	L:T:CD4:Treg
cell_37	L:T:CD4:TRM
cell_40	L:T:CD4:Treg
cell_207	L:B
cell_291	L:T:CD8:EM
cell_300	L:unconvT:MAIT
cell_14	M:Neu
cell_34	M:Neu
cell_134	M:Neu
cell_209	M:Neu
cell_280	M:Mono:Mac
cell_28	L:T:CD4:Treg
cell_95	L:T:CD4:Treg
cell_117	L:T:CD4:Treg
cell_142	L:T:CD4:Treg
cell_153	L:T:CD4:Treg
cell_187	L:T:CD4:Treg
cell_230	L:B
cell_352	L:T:CD4:Treg
cell_607	L:B
cell_620	L:T:CD4:Treg
cell_705	L:T:CD4:Treg
cell_549	L:NK
cell_395	L:T:CD4:TRM
cell_375	L:B
cell_410	L:B
cell_633	L:B
cell_674	L:B
cell_368	L:T:CD8:TRM
cell_446	L:T:CD8:EMRA
cell_465	L:T:CD4:TRM
cell_470	L:unconvT:MAIT
cell_581	L:NK
cell_634	L:T:CD4:Treg
cell_645	L:NK
cell_657	L:T:CD4:Treg
cell_718	L:T:CD8:TRM
cell_439	L:T:CD8:EMRA
cell_487	L:NK
cell_398	L:NK
cell_440	L:T:CD4:Ex
cell_572	L:T:CD4:TRM
cell_648	L:unconvT:MAIT
cell_709	L:T:CD4:Treg
cell_444	L:T:CD8:Ex
cell_485	L:T:CD4:Treg
cell_461	M:Neu
cell_538	M:Mono:Mac
cell_576	M:Mono:Mac
cell_420	M:Mono:mDC
cell_490	M:Mono:Mac
cell_608	M:cDC
cell_692	M:Mono:Mac
cell_712	M:cDC
cell_383	M:Neu
cell_384	M:Neu
cell_489	M:Neu
cell_636	M:Neu
cell_695	M:Neu
cell_409	M:Mast
cell_463	M:Eos
cell_551	M:Neu
cell_602	M:Eos
cell_638	M:Mono:Mac
cell_416	M:Mono:Mac
cell_437	M:Mono:Mac
cell_460	M:Mono:Mac
cell_408	M:Mono:Mac
cell_458	M:Mono:Mac
cell_513	M:Mono:Mac
cell_560	M:Mono:Mac
cell_670	M:Mono:Mac
cell_370	M:Neu
cell_564	M:Neu
cell_569	M:Neu
cell_681	M:Neu
cell_691	M:Neu
cell_380	L:T:CD8:EM
cell_486	L:NK
cell_625	L:NK
cell_626	L:T:CD8:EM
cell_524	L:B
cell_515	L:T:CD8:TRM
cell_520	L:T:CD4:TRM
cell_521	L:T:CD8:EM
cell_523	L:T:CD8:TRM
cell_453	L:T:CD4:Treg
cell_563	L:T:CD4:TRM
cell_693	L:T:CD4:Treg
cell_387	L:T:CD4:Treg
cell_417	L:T:CD4:Treg
cell_443	L:T:CD4:Tfh
cell_511	L:T:CD4:Treg
cell_587	L:T:CD4:EM
