Cell	ImmClassifier_prediction
NTC2.18.0508	L:T:CD8:EM
NTC2.19.0508	L:T:CD8:EM
NTC2.20.0508	L:T:CD8:EMRA
NTC2.2.0508	L:T:CD8:EM
NTC2.21.0508	L:T:CD8:Naive
NTC2.22.0508	L:T:CD8:EM
NTC2.23.0508	L:T:CD8:EM
NTC2.24.0508	L:T:CD8:EM
NTC2.25.0508	L:T:CD8:EM
NTC2.26.0508	L:T:CD8:EMRA
NTC2.27.0508	L:T:CD8:EM
NTC2.28.0508	L:T:CD8:EMRA
NTC2.29.0508	L:T:CD8:EM
NTC2.30.0508	L:T:CD8:EM
NTC2.3.0508	L:T:CD8:EM
NTC2.31.0508	L:T:CD8:EM
NTC2.32.0508	L:T:CD8:EM
NTC2.33.0508	L:T:CD8:TRM
NTC2.34.0508	L:T:CD8:EM
NTC2.36.0508	L:T:CD8:EM
NTC2.37.0508	L:T:CD8:EMRA
NTC2.38.0508	L:T:CD8:EM
NTC2.39.0508	L:T:CD8:EM
NTC2.40.0508	L:T:CD8:EM
NTC2.41.0508	L:T:CD8:EM
NTC2.43.0508	L:T:CD8:Naive
NTC2.44.0508	L:T:CD8:EM
NTC2.45.0508	L:T:CD8:EMRA
NTC2.46.0508	L:T:CD8:EM
NTC2.47.0508	L:T:CD8:Naive
NTC2.48.0508	L:NK
NTC2.49.0508	L:T:CD8:Naive
NTC2.50.0508	L:T:CD8:EM
NTC2.5.0508	L:T:CD8:EMRA
NTC2.51.0508	L:T:CD8:EM
NTC2.52.0508	L:T:CD8:EMRA
NTC2.53.0508	L:T:CD8:EM
NTC2.54.0508	L:T:CD8:Naive
NTC2.55.0508	L:T:CD8:Naive
NTC2.56.0508	L:T:CD8:EM
NTC2.57.0508	L:T:CD8:EM
NTC2.58.0508	L:T:CD8:EMRA
NTC2.59.0508	L:T:CD8:TRM
NTC2.60.0508	L:T:CD8:EM
NTC2.6.0508	L:T:CD8:EM
NTC2.61.0508	L:T:CD8:EM
NTC2.62.0508	L:T:CD8:EMRA
NTC2.63.0508	L:T:CD8:EMRA
NTC2.64.0508	L:T:CD8:EM
NTC2.65.0508	L:T:CD8:EM
NTC2.66.0508	L:NK
NTC2.67.0508	L:T:CD8:EM
NTC2.7.0508	L:T:CD8:EM
NTC2.73.0508	L:T:CD8:EM
NTC2.8.0508	L:T:CD8:EMRA
NTC2.9.0508	L:T:CD8:EM
NTC2.95.0508	L:T:CD8:EM
NTC2.96.0508	L:T:CD8:EM
PTC03.0205	L:T:CD8:Naive
PTC100.0205	L:T:CD8:EMRA
PTC103.0205	L:T:CD8:EMRA
PTC104.0205	L:T:CD8:EM
PTC106.0205	L:T:CD8:EM
PTC107.0205	L:T:CD4:Naive
PTC108.0205	L:T:CD8:EMRA
PTC109.0205	L:T:CD8:EMRA
PTC113.0205	L:T:CD8:EMRA
PTC114.0205	L:T:CD8:Naive
PTC116.0205	L:T:CD8:EMRA
