Cell	ImmClassifier_prediction
HN25_P5_D12_S48_comb	CD34
HN25_P5_F12_S72_comb	L:T:CD4:Treg
HN26_P14_C04_S220_comb	CD34
HN26_P26_B12_S312_comb	L:B
HN25_P5_E06_S54_comb	CD34
HN25_P23_B12_S216_comb	CD34
HN26_P25_H04_S184_comb	CD34
HN28_P6_E06_S150_comb	CD34
HN25_P24_D08_S140_comb	L:T:CD4:Naive
HN28_P6_E09_S153_comb	CD34
HN26_P26_D12_S336_comb	L:B
HN26_P26_F07_S355_comb	L:B
HN28_P15_G07_S367_comb	CD34
HN25_P23_B11_S215_comb	L:T:CD4:Naive
HN25_P24_G09_S177_comb	CD34
HN28_P15_F12_S360_comb	M:cDC
HN28_P15_A06_S294_comb	L:T:CD4:Naive
HN26_P14_D08_S236_comb	CD34
HN28_P15_H10_S382_comb	L:T:CD4:Naive
HN26_P25_C12_S132_comb	CD34
HN25_P24_E11_S155_comb	L:T:CD4:CM
HN26_P13_G06_S174_comb	L:B:PC
HN25_P5_F09_S69_comb	CD34
HN26_P25_E11_S155_comb	CD34
HN25_P23_E12_S252_comb	L:T:CD4:TRM
HN28_P15_H08_S380_comb	L:T:CD4:Ex
HN25_P24_F07_S163_comb	CD34
HN25_P23_G06_S270_comb	CD34
HN28_P6_E02_S146_comb	CD34
HN25_P24_G10_S178_comb	L:T:CD4:CM
HN26_P14_D05_S233_comb	CD34:HSC
HN26_P14_A01_S193_comb	CD34
HNSCC26_P24_C10_S322_comb	CD34
HN26_P26_H09_S381_comb	CD34
HN25_P24_F02_S158_comb	L:T:CD4:Naive
HN28_P15_H11_S383_comb	L:T:CD4:Naive
HN25_P23_C06_S222_comb	L:T:CD4:CM
HN25_P5_D10_S46_comb	L:T:CD4:TRM
HN26_P26_B08_S308_comb	CD34:HSC
HN26_P25_D02_S134_comb	CD34:HSC
HN25_P23_H03_S279_comb	L:T:CD4:Treg
HN26_P26_C04_S316_comb	M:cDC
HN28_P6_E10_S154_comb	CD34
HN26_P25_B08_S116_comb	CD34
HN28_P6_D12_S144_comb	CD34
HN26_P14_H11_S287_comb	L:T:CD4:Treg
HN25_P24_C10_S130_comb	L:T:CD4:TRM
HN25_P25_C02_S314_comb	L:B:PC
HN26_P13_A02_S98_comb	M:cDC
HN26_P5_E08_S56_comb	CD34
HN28_P6_B07_S115_comb	CD34
HN25_P24_F05_S161_comb	L:B
HN26_P14_B09_S213_comb	CD34
HN25_P23_B01_S205_comb	CD34
HN25_P5_A07_S7_comb	CD34
HN28_P15_A02_S290_comb	L:T:CD4:Treg
HN26_P13_D01_S133_comb	CD34
HN28_P6_B09_S117_comb	L:T:CD4:Naive
HN25_P5_E05_S53_comb	CD34
HN25_P5_D04_S40_comb	L:T:CD4:TRM
HN25_P25_E01_S337_comb	L:B:PC
HN28_P6_F05_S161_comb	M:cDC
HN26_P14_E08_S248_comb	L:T:CD4:CM
HN28_P6_D08_S140_comb	L:T:CD4:Treg
